name,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,bug
org.apache.lucene.index.FormatPostingsDocsConsumer,2,1,2,0,1,1,0,0,0.0,2.0,9,0,0,0.0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.lucene.search.IndexSearcher,65,3,57,8,36,2,2,0,61.0,9.0,37,1,1,1.0,8,30.0,18.0,36,4,0,11,291.0,39.0,8.08333,297.0,51.0,8.25,-6.0,39.0,-0.166667,368.143,164.852,0
org.apache.lucene.store.db.DbIndexOutput,4,2,1,3,28,0,8,0,86.0,8.0,24,0,0,0.0,7,34.0,16.0,2,0,0,1,2,1,1.0,2,1,1.0,0,0,0.0,179.286,15.2143,0
org.apache.lucene.search.highlight.TokenGroup,6,1,5,1,45,0,9,0,54.0,10.0,9,1,0,8.0,7,24.0,13.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,219.286,0,0
org.apache.lucene.index.MergeDocIDRemapper,4,1,2,2,1,0,6,0,76.0,2.0,9,0,0,6.0,2,8.0,15.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,30.8571,0,1
org.apache.lucene.benchmark.byTask.tasks.RepSelectByPrefTask,8,4,0,8,3,0,0,13,39.0,3.0,51,0,0,0.0,2,33.0,10.0,3,0,0,2,76.0,42.0,25.3333,45.0,42.0,15.0,31.0,31.0,10.3333,90.5714,10.3929,0
org.apache.lucene.analysis.PorterStemFilter,3,3,0,3,1,0,1,1,14.0,2.0,16,1,0,0.0,2,10.0,4.0,8,1,0,5,79.0,26.0,9.875,119.0,51.0,14.875,-40.0,1.0,-5.0,368.143,137.492,0
org.apache.lucene.search.PhraseScorer,8,3,1,7,78,2,9,0,107.0,13.0,17,4,3,0.0,6,44.0,33.0,18,3,0,8,322.0,120.0,17.8889,269.0,82.0,14.9444,53.0,38.0,2.94444,368.143,125.349,0
org.apache.lucene.analysis.WordlistLoader,6,1,2,4,1,0,0,0,44.0,2.0,9,0,0,0.0,2,18.0,10.0,9,1,0,4,83.0,32.0,9.22222,72.0,29.0,8.0,11.0,32.0,1.22222,216.286,70.0826,0
org.apache.lucene.analysis.CharTokenizer,3,3,1,2,10,3,6,1,55.0,5.0,16,6,0,0.0,3,15.0,13.0,10,0,0,6,84.0,27.0,8.4,107.0,51.0,10.7,-23.0,9.0,-2.3,349.857,198.361,1
org.apache.lucene.benchmark.byTask.tasks.ResetSystemEraseTask,2,4,0,2,1,0,0,2,7.0,2.0,44,0,0,0.0,2,4.0,2.0,4,0,0,3,52.0,48.0,13.0,60.0,48.0,15.0,-8.0,0.0,-2.0,90.5714,11.467,0
org.apache.lucene.queryParser.surround.query.ComposedQuery,9,2,5,4,105,4,3,1,73.0,15.0,30,3,0,0.0,9,64.0,24.0,3,0,0,3,8.0,6.0,2.66667,7.0,5.0,2.33333,1.0,1.0,0.333333,170.143,73.4286,0
org.apache.lucene.xmlparser.builders.SpanBuilderBase,1,2,0,1,0,6,0,0,3.0,1.0,11,0,0,0.0,1,2.0,1.0,2,0,0,1,17.0,16.0,8.5,2.0,1.0,1.0,15.0,15.0,7.5,136.571,45.042,0
org.apache.lucene.store.Directory,74,1,69,5,153,7,2,0,64.0,18.0,9,0,0,1.0,17,35.0,18.0,22,3,0,6,241.0,45.0,10.9545,128.0,51.0,5.81818,113.0,45.0,5.13636,368.143,217.232,1
org.apache.lucene.xmlparser.builders.DuplicateFilterBuilder,4,1,1,3,1,0,0,0,34.0,2.0,10,0,0,0.0,2,15.0,5.0,2,0,0,2,2.0,1.0,1.0,4.0,3.0,2.0,-2.0,0,-1.0,53.1429,24.9286,0
org.apache.lucene.xmlparser.builders.BooleanQueryBuilder,11,1,2,9,3,0,1,0,56.0,3.0,10,1,0,0.0,2,25.0,10.0,7,1,0,2,37.0,16.0,5.28571,26.0,12.0,3.71429,11.0,15.0,1.57143,136.571,35.1892,0
org.apache.lucene.index.DocInverterPerField,14,2,1,13,3,0,6,0,130.0,3.0,11,2,0,4.0,2,35.0,18.0,2,0,1,1,3.0,2.0,1.5,11.0,10.0,5.5,-8.0,0,-4.0,11.7143,3.14286,1
org.apache.lucene.analysis.el.GreekLowerCaseFilter,4,3,1,3,1,0,1,1,19.0,2.0,16,0,0,1.0,2,6.0,4.0,3,0,0,3,9.0,8.0,3.0,15.0,13.0,5.0,-6.0,0,-2.0,180.286,154.032,0
org.apache.lucene.index.ReadOnlySegmentReader,3,4,1,2,3,0,0,15,9.0,3.0,80,0,0,0.0,1,6.0,4.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,6.57143,0,0
org.apache.lucene.search.spans.SpanNotQuery,11,3,4,7,66,0,2,0,144.0,12.0,44,2,0,0.0,12,34.0,21.0,11,2,0,7,108.0,26.0,9.81818,22.0,8.0,2.0,86.0,22.0,7.81818,244.714,113.093,0
org.apache.lucene.benchmark.byTask.tasks.RepSumByNameTask,7,3,1,6,3,0,0,12,39.0,3.0,46,0,0,0.0,2,27.0,6.0,3,0,0,2,82.0,43.0,27.3333,46.0,43.0,15.3333,36.0,36.0,12.0,90.5714,10.3537,0
org.apache.lucene.index.InvertedDocEndConsumer,2,1,2,0,10,1,0,0,0.0,5.0,9,0,0,0.0,0,5.0,0.0,1,0,1,1,1,1,1.0,1,1,1.0,0,0,0.0,11.7143,0,0
org.apache.lucene.search.highlight.SpanGradientFormatter,4,2,0,4,1,0,2,14,35.0,2.0,15,2,0,0.0,2,12.0,6.0,3,0,0,3,7.0,6.0,2.33333,8.0,5.0,2.66667,-1.0,1.0,-0.333333,190.0,95.7143,0
org.apache.lucene.xmlparser.CoreParser,23,1,3,20,15,1,5,0,87.0,6.0,10,0,1,1.0,4,41.0,7.0,9,2,0,2,60.0,29.0,6.66667,4.0,1.0,0.444444,56.0,28.0,6.22222,136.571,69.35,0
org.apache.lucene.analysis.compound.hyphenation.HyphenationException,1,1,1,0,0,0,0,0,3.0,1.0,27,0,0,0.0,1,1.0,1.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,20.7143,0,0
org.apache.lucene.xmlparser.builders.FilteredQueryBuilder,6,1,1,5,1,0,2,0,18.0,2.0,10,2,0,0.0,2,9.0,2.0,3,0,0,2,18.0,16.0,6.0,5.0,3.0,1.66667,13.0,15.0,4.33333,136.0,49.4048,0
org.apache.lucene.benchmark.stats.MemUsage,2,1,1,1,3,0,6,0,13.0,3.0,9,0,0,6.0,3,8.0,2.0,3,0,0,2,1.0,1,0.333333,2.0,1.0,0.666667,-1.0,0.0,-0.333333,99.0,0,0
org.apache.lucene.index.ParallelReader,10,2,3,7,325,0,9,2,267.0,26.0,58,8,0,1.0,20,156.0,67.0,22,4,1,7,413.0,118.0,18.7727,138.0,23.0,6.27273,275.0,113.0,12.5,177.857,87.8565,0
org.apache.lucene.store.ChecksumIndexInput,3,2,0,3,28,0,2,0,28.0,8.0,33,0,0,2.0,8,18.0,8.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,34.2857,0,0
org.apache.lucene.analysis.compound.DictionaryCompoundWordTokenFilter,2,4,0,2,1,0,0,10,36.0,2.0,24,0,0,0.0,1,14.0,12.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,20.7143,0,0
org.apache.lucene.store.SingleInstanceLockFactory,3,2,2,1,3,0,1,1,13.0,3.0,13,1,0,0.0,3,6.0,3.0,4,1,0,2,13.0,6.0,3.25,9.0,5.0,2.25,4.0,4.0,1.0,110.143,13.7802,0
org.apache.lucene.analysis.ar.ArabicNormalizationFilter,5,3,2,3,1,0,1,1,15.0,2.0,16,0,0,0.0,1,8.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.lucene.analysis.StopAnalyzer,6,2,1,5,3,0,2,0,17.0,3.0,15,1,0,0.0,3,12.0,4.0,12,1,0,7,69.0,17.0,5.75,67.0,51.0,5.58333,2.0,17.0,0.166667,368.143,208.59,0
org.apache.lucene.analysis.PerFieldAnalyzerWrapper,3,2,2,1,15,0,2,0,30.0,6.0,15,2,0,0.0,6,13.0,9.0,9,2,0,6,59.0,16.0,6.55556,61.0,51.0,6.77778,-2.0,14.0,-0.222222,262.857,104.37,0
org.apache.lucene.index.IndexReader,153,1,138,16,1225,6,5,0,214.0,50.0,9,3,1,0.0,39,124.0,48.0,95,19,2,13,1990.0,132.0,20.9474,1099.0,202.0,11.5684,891.0,98.0,9.37895,368.143,207.691,1
org.apache.lucene.wordnet.SynLookup,9,1,0,9,1,0,0,0,78.0,2.0,9,0,0,0.0,2,43.0,13.0,2,0,0,2,2,1,1.0,2,1,1.0,0,0,0.0,245.286,25.0714,0
org.apache.lucene.queryParser.surround.parser.QueryParserTokenManager,4,1,1,3,190,0,19,26,604.0,20.0,9,2,14,7.0,5,103.0,217.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,170.143,0,0
org.apache.lucene.analysis.ngram.EdgeNGramTokenFilter,3,3,1,2,3,0,7,1,45.0,3.0,16,4,1,0.0,2,17.0,10.0,3,0,0,3,20.0,16.0,6.66667,18.0,16.0,6.0,2.0,2.0,0.666667,82.1429,68.0,1
org.apache.lucene.search.ExtendedFieldCacheImpl,3,2,1,2,6,0,5,13,9.0,4.0,35,2,0,3.0,3,9.0,3.0,4,0,1,2,80.0,59.0,20.0,15.0,11.0,3.75,65.0,48.0,16.25,49.0,16.5536,0
org.apache.lucene.benchmark.byTask.tasks.NewRoundTask,3,2,0,3,3,0,0,2,10.0,3.0,39,0,0,0.0,2,6.0,3.0,3,0,0,2,45.0,43.0,15.0,45.0,43.0,15.0,0.0,0.0,0.0,90.5714,10.9968,0
org.apache.lucene.benchmark.byTask.stats.Points,11,1,10,1,15,0,3,0,23.0,6.0,9,3,1,0.0,5,12.0,6.0,3,0,0,2,92.0,85.0,30.6667,344.0,258.0,114.667,-252.0,0.0,-84.0,90.5714,11.0512,0
org.apache.lucene.analysis.miscellaneous.PrefixAwareTokenFilter,5,2,2,3,36,2,4,0,63.0,9.0,13,4,0,0.0,9,24.0,15.0,2,0,0,2,16.0,15.0,8.0,44.0,43.0,22.0,-28.0,0,-14.0,14.0,6.5625,0
org.apache.lucene.queryParser.Token,0,1,0,0,6,0,8,0,13.0,4.0,9,0,0,8.0,4,5.0,4.0,2,0,0,2,56.0,55.0,28.0,13.0,12.0,6.5,43.0,43.0,21.5,264.857,257.041,0
org.apache.lucene.store.Lock,13,1,10,3,3,9,3,0,29.0,3.0,9,0,0,1.0,3,12.0,8.0,20,1,0,8,184.0,50.0,9.2,165.0,51.0,8.25,19.0,25.0,0.95,366.857,165.044,1
org.apache.lucene.index.FreqProxTermsWriter,14,2,0,14,45,0,3,1,229.0,10.0,16,2,1,1.0,2,53.0,43.0,2,0,1,1,61.0,60.0,30.5,41.0,40.0,20.5,20.0,20.0,10.0,11.7143,2.52927,0
org.apache.lucene.analysis.compound.hyphenation.Hyphen,2,1,0,2,1,0,3,0,19.0,2.0,18,0,0,3.0,1,7.0,6.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,20.7143,0,0
org.apache.lucene.index.InvertedDocConsumerPerThread,2,1,2,0,6,1,0,0,0.0,4.0,9,0,0,0.0,0,4.0,0.0,1,0,1,1,1,1,1.0,1,1,1.0,0,0,0.0,11.7143,0,0
org.apache.lucene.analysis.Analyzer,50,1,50,0,15,33,1,0,12.0,6.0,9,1,0,0.0,4,9.0,4.0,11,1,0,8,78.0,28.0,7.09091,88.0,51.0,8.0,-10.0,27.0,-0.909091,368.143,237.31,1
org.apache.lucene.xmlparser.builders.LikeThisQueryBuilder,12,1,1,11,1,0,5,0,58.0,2.0,10,1,0,4.0,2,29.0,10.0,6,0,0,3,64.0,38.0,10.6667,10.0,5.0,1.66667,54.0,38.0,9.0,136.571,36.9531,0
org.apache.lucene.xmlparser.builders.RangeFilterBuilder,3,1,1,2,1,0,0,0,10.0,2.0,10,0,0,0.0,2,6.0,1.0,3,0,0,2,18.0,16.0,6.0,5.0,3.0,1.66667,13.0,15.0,4.33333,136.571,49.9444,0
org.tartarus.snowball.ext.LovinsStemmer,1,2,0,1,561,0,4,6,1501.0,34.0,35,4,33,0.0,1,137.0,262.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,6.57143,0,0
org.apache.lucene.util.UnicodeUtil,8,1,6,2,1,0,9,0,115.0,2.0,9,4,0,0.0,2,7.0,20.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,28.0,0,0
org.apache.lucene.document.NumberTools,6,1,1,5,1,0,6,0,51.0,2.0,9,3,0,0.0,2,19.0,10.0,5,1,0,5,13.0,6.0,2.6,12.0,5.0,2.4,1.0,1.0,0.2,202.143,59.011,0
org.apache.lucene.search.ExactPhraseScorer,5,4,2,3,1,0,0,5,28.0,2.0,27,0,0,0.0,0,9.0,7.0,10,1,0,7,39.0,13.0,3.9,75.0,51.0,7.5,-36.0,3.0,-3.6,368.143,182.044,0
org.apache.lucene.store.FSDirectory,1,2,1,0,1,3,4,2,6.0,2.0,27,3,0,0.0,2,2.0,2.0,81,15,1,10,1262.0,128.0,15.5802,890.0,108.0,10.9877,372.0,51.0,4.59259,368.143,204.577,1
org.apache.lucene.ant.TextDocument,6,1,2,4,3,0,1,0,31.0,3.0,9,1,0,0.0,3,19.0,4.0,2,1,0,1,2,1,1.0,2,1,1.0,0,0,0.0,325.857,39.7857,0
org.apache.lucene.xmlparser.builders.SpanNotBuilder,5,3,1,4,1,0,1,0,19.0,2.0,12,0,0,1.0,2,8.0,2.0,3,0,0,1,25.0,16.0,8.33333,22.0,20.0,7.33333,3.0,15.0,1.0,136.571,30.8114,0
org.apache.lucene.store.instantiated.InstantiatedIndexReader,16,2,5,14,276,0,4,2,174.0,24.0,58,4,0,0.0,19,123.0,64.0,4,0,0,2,122.0,119.0,30.5,60.0,57.0,15.0,62.0,62.0,15.5,29.8571,15.2482,1
org.tartarus.snowball.ext.PortugueseStemmer,1,2,0,1,66,0,13,6,866.0,12.0,35,13,11,0.0,1,92.0,155.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,6.57143,0,0
org.apache.lucene.util.CloseableThreadLocal,5,1,4,1,6,1,2,0,43.0,4.0,9,2,0,0.0,3,18.0,8.0,2,0,0,1,15.0,14.0,7.5,6.0,5.0,3.0,9.0,9.0,4.5,3.42857,0.266667,0
org.apache.lucene.index.FormatPostingsTermsWriter,4,2,1,3,10,0,8,1,30.0,5.0,11,0,0,8.0,0,11.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.lucene.index.MergeScheduler,1,1,1,0,1,3,0,0,0.0,2.0,9,0,0,0.0,0,2.0,0.0,4,0,0,1,10.0,5.0,2.5,7.0,3.0,1.75,3.0,3.0,0.75,55.1429,12.7143,0
org.apache.lucene.index.TermInfo,2,1,2,0,1,0,4,0,12.0,2.0,9,0,0,4.0,0,2.0,2.0,4,0,0,3,29.0,13.0,7.25,61.0,51.0,15.25,-32.0,5.0,-8.0,368.143,152.256,0
org.apache.lucene.search.ComplexExplanation,12,2,10,2,10,0,1,0,20.0,5.0,29,1,0,0.0,4,14.0,8.0,5,2,0,5,11.0,6.0,2.2,11.0,5.0,2.2,0.0,1.0,0.0,119.286,47.7403,0
org.apache.lucene.search.DocIdSetIterator,26,1,26,0,6,4,0,0,0.0,4.0,9,0,0,0.0,4,4.0,0.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,35.5714,0,0
org.apache.lucene.store.db.DbDirectory,9,2,1,8,91,0,5,2,102.0,14.0,27,0,0,0.0,14,63.0,21.0,3,0,0,1,3,1,1.0,3,1,1.0,0,0,0.0,247.0,24.2381,0
org.apache.lucene.search.CheckHits,20,1,12,10,45,0,1,0,214.0,10.0,9,0,0,1.0,10,105.0,46.0,3,0,0,2,3,1,1.0,3,1,1.0,0,0,0.0,200.429,44.8571,0
org.apache.lucene.index.Term,74,1,72,2,45,0,2,0,37.0,10.0,18,0,1,2.0,7,18.0,16.0,14,3,0,8,73.0,13.0,5.21429,73.0,51.0,5.21429,0.0,11.0,0.0,368.143,194.02,0
org.apache.lucene.demo.SearchFiles,12,1,0,12,6,0,0,0,206.0,4.0,9,0,1,0.0,3,78.0,47.0,13,2,0,8,338.0,151.0,26.0,174.0,51.0,13.3846,164.0,111.0,12.6154,349.571,231.055,0
org.apache.lucene.demo.html.ParseException,4,1,1,3,3,0,5,0,87.0,3.0,27,0,0,3.0,2,28.0,24.0,3,1,0,2,8.0,6.0,2.66667,8.0,6.0,2.66667,0.0,0.0,0.0,264.857,220.839,0
org.apache.lucene.queryParser.surround.query.NotQuery,3,3,1,2,1,0,0,1,12.0,2.0,45,0,0,0.0,2,9.0,2.0,2,0,0,2,7.0,6.0,3.5,6.0,5.0,3.0,1.0,1.0,0.5,170.143,60.2449,0
org.tartarus.snowball.Among,2,1,0,2,0,0,6,0,18.0,1.0,9,0,0,6.0,1,5.0,2.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,6.57143,0,0
org.apache.lucene.search.NonMatchingScorer,2,3,1,1,15,0,0,0,10.0,6.0,17,0,0,0.0,6,10.0,6.0,2,0,0,2,7.0,6.0,3.5,6.0,5.0,3.0,1.0,1.0,0.5,193.286,80.0816,0
org.apache.lucene.index.TermVectorsTermsWriterPerThread,3,2,2,2,21,0,7,0,42.0,7.0,13,0,0,7.0,5,12.0,10.0,1,0,1,1,1,1,1.0,1,1,1.0,0,0,0.0,11.7143,0,0
org.apache.lucene.search.Explanation,29,1,28,1,55,1,3,0,63.0,11.0,18,3,0,0.0,9,32.0,18.0,7,4,0,5,49.0,25.0,7.0,67.0,51.0,9.57143,-18.0,18.0,-2.57143,299.286,146.085,0
org.apache.lucene.index.TermVectorsWriter,13,1,1,12,6,0,5,0,163.0,4.0,9,4,0,1.0,2,43.0,27.0,14,3,0,8,340.0,126.0,24.2857,425.0,310.0,30.3571,-85.0,52.0,-6.07143,241.714,115.235,0
org.apache.lucene.search.spans.NearSpansOrdered,6,2,1,6,91,0,12,0,166.0,14.0,16,12,5,0.0,9,63.0,50.0,3,1,0,3,42.0,35.0,14.0,16.0,10.0,5.33333,26.0,25.0,8.66667,101.714,79.1939,1
org.apache.lucene.util.BitVector,8,1,5,3,78,0,4,0,128.0,13.0,9,4,5,0.0,8,52.0,31.0,11,1,0,6,142.0,75.0,12.9091,78.0,51.0,7.09091,64.0,68.0,5.81818,368.143,248.907,0
org.apache.lucene.search.regex.RegexTermEnum,6,3,1,5,10,0,4,0,34.0,5.0,24,4,0,0.0,4,18.0,8.0,2,0,0,1,2,1,1.0,2,1,1.0,0,0,0.0,151.571,0.857143,0
org.apache.lucene.search.BoostingQuery,2,2,1,1,3,0,3,0,39.0,3.0,39,3,0,0.0,3,8.0,5.0,4,0,0,3,22.0,19.0,5.5,4.0,1.0,1.0,18.0,18.0,4.5,136.571,63.013,0
org.apache.lucene.analysis.ngram.NGramTokenizer,2,3,1,1,1,0,9,1,27.0,2.0,16,7,0,0.0,2,7.0,6.0,5,0,0,2,58.0,52.0,11.6,58.0,52.0,11.6,0.0,1.0,0.0,93.7143,14.9483,0
org.apache.lucene.queryParser.ParseException,8,1,5,3,3,0,5,0,90.0,3.0,27,0,0,3.0,2,29.0,24.0,4,1,0,3,8.0,6.0,2.0,12.0,6.0,3.0,-4.0,0.0,-1.0,264.857,220.839,0
org.apache.lucene.benchmark.byTask.feeds.NoMoreDataException,6,1,6,0,0,0,0,0,0.0,1.0,27,0,0,0.0,1,1.0,0.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,80.2857,0,0
org.apache.lucene.demo.html.HTMLParser,15,1,3,13,496,0,40,39,574.0,32.0,9,19,11,21.0,17,177.0,179.0,14,6,0,6,125.0,34.0,8.92857,100.0,28.0,7.14286,25.0,19.0,1.78571,264.857,56.4354,0
org.apache.lucene.queryParser.surround.query.BasicQueryFactory,4,1,1,3,15,0,2,0,18.0,6.0,9,2,1,0.0,5,12.0,7.0,2,0,0,2,7.0,6.0,3.5,6.0,5.0,3.0,1.0,1.0,0.5,170.143,60.2449,0
org.apache.lucene.analysis.br.BrazilianAnalyzer,4,2,0,4,3,0,3,0,15.0,3.0,15,2,0,0.0,3,10.0,3.0,9,1,0,3,9,1,1.0,9,1,1.0,0,0,0.0,250.143,19.0794,0
org.apache.lucene.search.Similarity,29,1,27,2,78,4,2,0,22.0,13.0,18,2,0,0.0,13,17.0,7.0,28,5,0,11,694.0,250.0,24.7857,282.0,51.0,10.0714,412.0,204.0,14.7143,368.143,162.464,1
org.apache.lucene.search.highlight.SimpleFragmenter,7,1,6,1,10,0,3,0,20.0,5.0,11,3,0,0.0,5,6.0,6.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,234.714,0,0
org.apache.lucene.index.SegmentTermVector,3,1,1,2,28,1,3,0,50.0,8.0,15,3,0,0.0,7,18.0,15.0,6,1,0,4,34.0,26.0,5.66667,62.0,49.0,10.3333,-28.0,22.0,-4.66667,241.714,56.9538,0
org.apache.lucene.benchmark.Constants,0,1,0,0,0,0,5,0,0.0,0.0,9,0,0,1.0,0,0.0,0.0,2,0,0,2,1.0,1,0.5,1.0,1,0.5,0.0,0.0,0.0,99.0,0,0
org.apache.lucene.benchmark.byTask.tasks.WarmTask,0,3,0,0,15,0,0,2,18.0,6.0,55,0,0,0.0,6,6.0,6.0,4,0,0,3,69.0,60.0,17.25,62.0,60.0,15.5,7.0,4.0,1.75,90.5714,10.8944,0
org.apache.lucene.index.DefaultSkipListReader,3,2,1,2,28,0,7,0,58.0,8.0,17,7,0,0.0,0,17.0,10.0,3,0,0,1,116.0,114.0,38.6667,116.0,114.0,38.6667,0.0,0.0,0.0,70.8571,49.8498,0
org.apache.lucene.analysis.el.GreekAnalyzer,3,2,0,3,3,0,27,0,25.0,3.0,15,27,1,0.0,2,11.0,5.0,3,0,0,3,4.0,3.0,1.33333,4.0,2.0,1.33333,0.0,1.0,0.0,180.286,131.893,0
org.apache.lucene.xmlparser.builders.SpanOrBuilder,5,3,1,4,1,0,1,0,19.0,2.0,12,0,0,1.0,2,13.0,4.0,2,0,0,1,17.0,16.0,8.5,2.0,1.0,1.0,15.0,15.0,7.5,136.571,45.042,0
org.apache.lucene.search.function.CustomScoreQuery,9,2,1,8,78,2,3,0,88.0,13.0,39,3,0,0.0,12,44.0,28.0,5,2,0,2,172.0,165.0,34.4,56.0,49.0,11.2,116.0,116.0,23.2,70.1429,27.4377,0
org.apache.lucene.index.SortedTermVectorMapper,4,2,2,2,6,0,5,0,59.0,4.0,15,4,0,0.0,4,19.0,21.0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,63.2857,0,0
org.apache.lucene.analysis.sinks.TokenTypeSinkTokenizer,3,4,0,3,1,0,1,3,10.0,2.0,22,1,0,0.0,2,5.0,4.0,2,0,0,2,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,43.7143,18.3571,0
