name,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,bug
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedNameReference,5,7,1,4,3,0,0,397,42.0,3.0,124,0,0,0.0,3,22.0,14.0,32,7,0,5,219.0,89.0,6.84375,207.0,89.0,6.46875,12.0,11.0,0.375,367.0,53.9478,0
org.eclipse.jdt.internal.compiler.flow.LoopingFlowContext,12,3,4,8,78,0,16,143,387.0,13.0,40,6,0,10.0,10,125.0,93.0,52,3,0,5,991.0,226.0,19.0577,633.0,148.0,12.1731,358.0,161.0,6.88462,367.0,136.59,0
org.eclipse.jdt.internal.core.util.KeyKind,1,2,1,0,136,0,15,2,53.0,17.0,41,1,0,1.0,17,18.0,19.0,13,2,0,4,91.0,31.0,7.0,49.0,14.0,3.76923,42.0,17.0,3.23077,175.0,35.4835,0
org.eclipse.jdt.core.dom.ChildListPropertyDescriptor,4,2,3,1,3,0,2,0,14.0,3.0,15,0,0,2.0,2,4.0,4.0,9,5,0,4,11.0,5.0,1.22222,10.0,5.0,1.11111,1.0,1.0,0.111111,224.857,86.3117,0
org.eclipse.jdt.internal.compiler.ast.TypeDeclaration,63,3,36,33,351,2,30,391,624.0,27.0,42,0,1,26.0,25,172.0,148.0,193,30,0,12,6571.0,1071.0,34.0466,6072.0,1123.0,31.4611,499.0,174.0,2.58549,367.0,111.711,1
org.eclipse.jdt.core.dom.ASTRequestor,1,1,1,1,6,1,1,0,20.0,4.0,8,0,0,1.0,3,5.0,6.0,12,2,0,5,228.0,53.0,19.0,162.0,35.0,13.5,66.0,40.0,5.5,193.571,4.72807,0
org.eclipse.jdt.internal.core.search.AbstractJavaSearchScope,1,2,1,0,1,2,0,5,0.0,2.0,19,0,0,0.0,2,2.0,0.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.85714,0,0
org.eclipse.jdt.core.search.SearchPattern,36,2,18,23,190,2,12,3,1126.0,20.0,13,2,6,0.0,14,244.0,276.0,91,8,0,9,6880.0,1627.0,75.6044,5271.0,1359.0,57.9231,1609.0,583.0,17.6813,236.0,96.0161,1
org.eclipse.jdt.core.jdom.DOMFactory,4,1,1,3,45,0,1,0,52.0,10.0,17,0,0,1.0,10,34.0,17.0,35,6,0,7,405.0,155.0,11.5714,409.0,155.0,11.6857,-4.0,12.0,-0.114286,367.0,46.4272,0
org.eclipse.jdt.internal.core.util.SignatureAttribute,6,3,3,3,3,0,2,1,16.0,3.0,31,2,0,0.0,2,8.0,4.0,6,3,0,3,104.0,49.0,17.3333,6.0,4.0,1.0,98.0,49.0,16.3333,228.857,14.8173,0
org.eclipse.jdt.internal.core.BinaryMember,18,6,3,15,91,3,0,53,127.0,14.0,170,0,1,0.0,10,61.0,29.0,43,6,0,6,409.0,105.0,9.51163,317.0,110.0,7.37209,92.0,79.0,2.13953,367.0,133.861,1
org.eclipse.jdt.internal.compiler.ast.MessageSend,22,4,5,17,136,5,13,384,494.0,17.0,77,0,0,13.0,17,191.0,166.0,168,12,0,10,2126.0,307.0,12.6548,1719.0,307.0,10.2321,407.0,63.0,2.42262,367.0,129.876,1
org.eclipse.jdt.internal.core.XMLWriter,2,2,2,0,0,0,0,0,3.0,1.0,43,0,0,0.0,1,2.0,1.0,20,4,0,7,115.0,14.0,5.75,175.0,94.0,8.75,-60.0,5.0,-3.0,244.571,99.8596,0
org.eclipse.jdt.internal.compiler.parser.JavadocParser,27,2,7,20,210,4,6,133,795.0,21.0,46,4,0,2.0,3,171.0,212.0,92,12,0,9,2972.0,319.0,32.3043,3264.0,892.0,35.4783,-292.0,168.0,-3.17391,239.143,49.4217,1
org.eclipse.jdt.internal.eval.CodeSnippetSingleNameReference,21,7,1,20,55,0,2,448,591.0,11.0,115,0,0,2.0,11,220.0,156.0,76,10,0,7,1763.0,600.0,23.1974,1852.0,600.0,24.3684,-89.0,43.0,-1.17105,367.0,81.0014,1
org.eclipse.jdt.internal.compiler.parser.RecoveredInitializer,9,3,1,8,45,0,7,126,166.0,10.0,44,0,0,7.0,10,40.0,39.0,54,8,0,7,740.0,243.0,13.7037,669.0,243.0,12.3889,71.0,85.0,1.31481,367.0,94.1838,0
org.eclipse.jdt.internal.core.util.WeakHashSetOfCharArray,3,1,0,3,45,0,4,0,144.0,10.0,8,0,3,4.0,7,40.0,37.0,4,1,0,4,18.0,17.0,4.5,7.0,6.0,1.75,11.0,11.0,2.75,141.714,23.2937,0
org.eclipse.jdt.internal.compiler.ast.Expression,108,3,92,18,528,15,4,380,760.0,33.0,38,0,2,4.0,31,281.0,234.0,149,12,0,11,5262.0,483.0,35.3154,4660.0,483.0,31.2752,602.0,226.0,4.04027,367.0,148.462,0
org.eclipse.jdt.internal.compiler.classfmt.MethodInfoWithAnnotations,5,3,3,3,10,1,1,13,35.0,5.0,55,0,0,0.0,1,12.0,13.0,2,1,0,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,127.0,69.2857,0
org.eclipse.jdt.internal.core.util.ConstantPool,3,2,1,2,10,0,3,0,72.0,5.0,22,3,1,0.0,3,55.0,15.0,10,4,0,3,60.0,32.0,6.0,61.0,33.0,6.1,-1.0,0.0,-0.1,322.714,97.4809,0
org.eclipse.jdt.internal.compiler.ast.ArrayTypeReference,7,6,5,3,15,2,2,385,52.0,6.0,95,0,0,2.0,5,17.0,12.0,47,7,0,5,320.0,52.0,6.80851,262.0,52.0,5.57447,58.0,20.0,1.23404,367.0,92.4138,0
org.eclipse.jdt.internal.compiler.impl.IntConstant,5,2,5,0,66,0,16,152,55.0,12.0,41,15,1,1.0,11,14.0,27.0,37,6,0,6,284.0,64.0,7.67568,258.0,64.0,6.97297,26.0,22.0,0.702703,367.0,81.749,0
org.eclipse.jdt.internal.core.search.matching.SuperTypeReferencePattern,7,4,1,6,28,0,15,61,214.0,8.0,45,0,0,10.0,5,47.0,53.0,82,7,0,8,2577.0,325.0,31.4268,2733.0,325.0,33.3293,-156.0,81.0,-1.90244,367.0,77.5985,1
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedAllocationExpression,5,6,1,4,3,0,0,394,32.0,3.0,102,0,0,0.0,3,17.0,11.0,29,4,0,5,184.0,69.0,6.34483,185.0,69.0,6.37931,-1.0,6.0,-0.0344828,367.0,49.3261,0
org.eclipse.jdt.core.dom.SuperFieldAccess,5,3,1,5,105,0,5,95,96.0,15.0,73,3,0,0.0,6,51.0,25.0,39,14,0,7,465.0,167.0,11.9231,264.0,167.0,6.76923,201.0,74.0,5.15385,333.143,70.569,0
org.eclipse.jdt.internal.core.ExternalPackageFragmentRoot,6,5,1,5,78,0,1,62,56.0,13.0,202,0,0,0.0,8,22.0,20.0,7,0,0,1,23.0,11.0,3.28571,6.0,4.0,0.857143,17.0,10.0,2.42857,16.0,2.03106,0
org.eclipse.jdt.internal.compiler.lookup.MethodScope,55,3,44,15,105,0,12,274,378.0,15.0,103,0,2,12.0,11,93.0,110.0,89,9,0,9,2001.0,399.0,22.4831,1889.0,399.0,21.2247,112.0,117.0,1.25843,367.0,118.103,1
org.eclipse.jdt.internal.compiler.CompilationResult,31,1,24,7,190,0,24,0,245.0,20.0,8,3,3,21.0,17,72.0,72.0,81,18,0,9,1835.0,349.0,22.6543,1569.0,379.0,19.3704,266.0,79.0,3.28395,367.0,130.299,1
org.eclipse.jdt.internal.core.util.KeyToSignature,5,2,2,3,300,0,13,2,258.0,25.0,41,8,1,1.0,24,130.0,56.0,32,1,0,4,413.0,92.0,12.9062,122.0,26.0,3.8125,291.0,80.0,9.09375,175.714,24.9862,0
org.eclipse.jdt.internal.core.jdom.DOMType,14,4,4,11,703,0,14,50,419.0,38.0,185,0,0,0.0,20,162.0,94.0,58,11,0,7,1851.0,721.0,31.9138,1730.0,721.0,29.8276,121.0,77.0,2.08621,367.0,49.3741,0
org.eclipse.jdt.internal.compiler.ast.ForStatement,11,3,0,11,15,0,11,380,343.0,6.0,38,2,0,9.0,6,106.0,91.0,86,11,0,8,1629.0,335.0,18.9419,1535.0,335.0,17.8488,94.0,65.0,1.09302,367.0,76.4774,0
org.eclipse.jdt.internal.compiler.lookup.MissingTypeBinding,3,5,1,2,10,0,0,58,34.0,5.0,179,0,0,0.0,4,12.0,7.0,2,1,0,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,16.5714,13.5714,0
org.eclipse.jdt.internal.compiler.ast.TrueLiteral,3,6,1,2,21,0,1,384,39.0,7.0,79,0,0,0.0,7,14.0,11.0,24,5,0,4,167.0,70.0,6.95833,174.0,70.0,7.25,-7.0,8.0,-0.291667,367.0,66.3601,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnKeyword3,1,7,1,0,15,0,1,419,21.0,6.0,118,1,0,0.0,6,10.0,6.0,11,4,0,6,21.0,4.0,1.90909,17.0,4.0,1.54545,4.0,3.0,0.363636,282.0,82.7755,0
org.eclipse.jdt.internal.formatter.FormatJavadocText,6,2,3,4,136,0,7,119,197.0,17.0,16,1,1,6.0,7,54.0,68.0,7,2,0,2,139.0,75.0,19.8571,28.0,13.0,4.0,111.0,63.0,15.8571,9.14286,1.58068,0
org.eclipse.jdt.internal.core.ImportDeclarationElementInfo,1,4,1,0,0,0,0,7,0.0,1.0,28,0,0,0.0,1,1.0,0.0,10,3,0,6,16.0,5.0,1.6,28.0,18.0,2.8,-12.0,5.0,-1.2,271.0,86.4107,0
org.eclipse.jdt.internal.formatter.comment.SubstitutionTextReader,5,1,2,3,55,2,7,0,81.0,11.0,28,7,0,0.0,5,29.0,21.0,7,6,0,1,12.0,4.0,1.71429,10.0,4.0,1.42857,2.0,2.0,0.285714,168.857,93.3452,0
org.eclipse.jdt.internal.compiler.ast.NormalAnnotation,6,5,4,2,10,1,1,388,45.0,5.0,78,0,0,1.0,5,13.0,16.0,18,9,1,6,211.0,84.0,11.7222,53.0,14.0,2.94444,158.0,84.0,8.77778,222.714,21.6087,0
org.eclipse.jdt.internal.compiler.lookup.SourceTypeBinding,55,4,32,32,1275,1,15,49,1461.0,51.0,148,8,2,7.0,43,446.0,456.0,224,16,0,12,6579.0,1041.0,29.3705,5717.0,1041.0,25.5223,862.0,146.0,3.84821,367.0,115.991,1
org.eclipse.jdt.internal.core.SetContainerOperation,14,3,1,13,15,0,3,19,167.0,6.0,67,0,4,3.0,1,51.0,36.0,10,2,0,2,86.0,60.0,8.6,62.0,51.0,6.2,24.0,9.0,2.4,105.0,22.3239,0
org.eclipse.jdt.internal.compiler.lookup.AnnotationBinding,13,1,8,6,45,1,2,0,151.0,10.0,8,0,3,2.0,6,53.0,53.0,12,3,0,5,233.0,165.0,19.4167,78.0,34.0,6.5,155.0,131.0,12.9167,184.714,78.8087,0
org.eclipse.jdt.internal.core.LRUCacheEnumerator,1,1,1,0,3,0,1,0,11.0,3.0,8,0,0,0.0,3,3.0,3.0,15,4,0,5,121.0,69.0,8.06667,119.0,69.0,7.93333,2.0,6.0,0.133333,367.0,68.9906,0
org.eclipse.jdt.internal.core.JavaModelInfo,3,3,1,2,3,0,1,3,27.0,3.0,17,0,1,1.0,1,7.0,8.0,27,5,0,5,152.0,42.0,5.62963,182.0,32.0,6.74074,-30.0,41.0,-1.11111,367.0,62.4445,0
org.eclipse.jdt.core.dom.MethodDeclaration,15,3,8,9,595,0,23,97,319.0,35.0,84,11,0,0.0,18,156.0,81.0,73,16,0,8,2096.0,439.0,28.7123,1160.0,439.0,15.8904,936.0,282.0,12.8219,333.143,84.0883,0
org.eclipse.jdt.internal.core.search.matching.AndPattern,2,5,1,2,10,0,2,61,50.0,5.0,49,0,1,1.0,1,10.0,15.0,50,6,0,8,574.0,115.0,11.48,707.0,115.0,14.14,-133.0,14.0,-2.66,367.0,119.907,1
org.eclipse.jdt.internal.eval.CodeSnippetSuperReference,3,7,1,2,28,0,0,398,25.0,8.0,107,0,0,0.0,8,10.0,8.0,26,6,0,6,112.0,54.0,4.30769,89.0,54.0,3.42308,23.0,7.0,0.884615,355.714,79.8367,0
org.eclipse.jdt.internal.core.search.matching.OrPattern,8,3,2,7,28,0,2,52,69.0,8.0,27,0,0,1.0,5,24.0,25.0,60,3,0,7,986.0,170.0,16.4333,1102.0,170.0,18.3667,-116.0,35.0,-1.93333,367.0,74.1623,1
org.eclipse.jdt.internal.core.util.HashSetOfArray,5,1,1,4,36,0,3,0,109.0,9.0,16,0,2,3.0,7,30.0,31.0,3,0,0,1,149.0,149.0,49.6667,149.0,149.0,49.6667,0.0,149.0,0.0,60.0,1.28571,0
org.eclipse.jdt.internal.core.util.ClassFileStruct,35,1,32,3,55,16,0,0,85.0,11.0,8,0,0,0.0,0,16.0,21.0,14,4,0,5,53.0,9.0,3.78571,61.0,9.0,4.35714,-8.0,0.0,-0.571429,322.714,68.9003,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnSingleTypeReference,7,6,2,5,10,0,0,385,35.0,5.0,95,0,0,0.0,4,24.0,11.0,37,6,0,6,177.0,65.0,4.78378,167.0,65.0,4.51351,10.0,11.0,0.27027,367.0,82.0153,0
org.eclipse.jdt.internal.compiler.env.AccessRuleSet,16,1,11,5,10,0,3,0,62.0,5.0,8,1,0,2.0,5,18.0,22.0,16,2,0,4,151.0,30.0,9.4375,109.0,31.0,6.8125,42.0,19.0,2.625,169.143,46.8515,0
org.eclipse.jdt.internal.core.search.indexing.IndexAllProject,13,2,1,13,15,0,1,8,207.0,6.0,19,0,0,1.0,5,58.0,30.0,110,7,0,9,1350.0,176.0,12.2727,1190.0,176.0,10.8182,160.0,30.0,1.45455,367.0,92.3705,0
org.eclipse.jdt.internal.compiler.codegen.ObjectCache,3,1,1,2,36,0,4,0,83.0,9.0,8,0,1,4.0,8,24.0,25.0,31,2,0,6,571.0,152.0,18.4194,578.0,152.0,18.6452,-7.0,6.0,-0.225806,367.0,61.5161,0
org.eclipse.jdt.internal.core.util.ClassFileAttribute,7,2,4,3,6,17,4,0,18.0,4.0,22,3,0,0.0,4,10.0,5.0,10,4,0,3,29.0,9.0,2.9,30.0,10.0,3.0,-1.0,0.0,-0.1,322.714,50.9852,0
org.eclipse.jdt.internal.compiler.ast.ForeachStatement,19,3,0,19,15,0,21,380,451.0,6.0,38,11,0,10.0,6,172.0,84.0,84,31,0,8,2092.0,395.0,24.9048,1163.0,62.0,13.8452,929.0,395.0,11.0595,223.429,46.9666,1
org.eclipse.jdt.core.dom.NodeEventHandler,1,1,1,0,55,1,0,0,43.0,11.0,8,0,0,0.0,0,11.0,11.0,14,4,0,4,279.0,92.0,19.9286,43.0,10.0,3.07143,236.0,88.0,16.8571,224.857,8.69329,0
org.eclipse.jdt.internal.eval.CodeSnippetClassFile,13,2,1,12,1,0,0,270,166.0,2.0,48,0,0,0.0,2,42.0,29.0,61,13,0,8,667.0,241.0,10.9344,705.0,241.0,11.5574,-38.0,5.0,-0.622951,367.0,79.6989,1
org.eclipse.jdt.internal.compiler.flow.FinallyFlowContext,8,2,1,7,28,0,7,141,264.0,8.0,35,0,0,7.0,5,85.0,63.0,36,3,0,5,842.0,188.0,23.3889,593.0,97.0,16.4722,249.0,123.0,6.91667,367.0,157.823,0
org.eclipse.jdt.internal.compiler.SourceJavadocParser,6,3,1,5,6,0,2,135,107.0,4.0,67,0,0,2.0,2,24.0,49.0,13,2,0,4,74.0,29.0,5.69231,50.0,29.0,3.84615,24.0,29.0,1.84615,139.714,13.749,0
org.eclipse.jdt.internal.compiler.lookup.UnresolvedReferenceBinding,11,4,6,6,15,0,2,49,64.0,6.0,148,0,0,2.0,2,18.0,18.0,50,6,0,8,271.0,42.0,5.42,217.0,42.0,4.34,54.0,27.0,1.08,367.0,128.633,0
org.eclipse.jdt.internal.core.CreateImportOperation,17,3,2,15,21,0,2,25,83.0,7.0,82,0,0,0.0,3,49.0,20.0,49,4,0,7,405.0,136.0,8.26531,338.0,136.0,6.89796,67.0,17.0,1.36735,367.0,104.855,0
org.eclipse.jdt.internal.core.builder.ReferenceCollection,8,1,3,5,10,1,10,0,140.0,5.0,8,0,0,4.0,4,37.0,48.0,28,6,0,7,407.0,225.0,14.5357,365.0,225.0,13.0357,42.0,32.0,1.5,329.0,74.1846,1
org.eclipse.jdt.internal.compiler.ast.InstanceOfExpression,8,5,0,8,21,0,2,412,70.0,7.0,94,0,0,2.0,7,39.0,18.0,74,8,0,8,1181.0,247.0,15.9595,1310.0,247.0,17.7027,-129.0,33.0,-1.74324,367.0,74.9741,1
org.eclipse.jdt.core.dom.NodeSearcher,1,2,1,0,1,0,3,0,11.0,2.0,11,0,0,3.0,1,2.0,4.0,9,4,0,4,17.0,4.0,1.88889,21.0,6.0,2.33333,-4.0,0.0,-0.444444,256.571,48.3193,0
org.eclipse.jdt.internal.core.util.AnnotationComponent,5,2,1,4,10,0,4,0,27.0,5.0,22,4,0,0.0,4,12.0,7.0,6,3,0,3,148.0,71.0,24.6667,6.0,4.0,1.0,142.0,71.0,23.6667,222.857,10.582,0
org.eclipse.jdt.core.dom.BreakStatement,4,3,1,3,66,0,3,95,59.0,12.0,73,2,0,0.0,3,35.0,16.0,34,12,0,7,316.0,123.0,9.29412,181.0,123.0,5.32353,135.0,60.0,3.97059,333.143,70.9878,0
org.eclipse.jdt.internal.core.ASTHolderCUInfo,1,4,1,0,0,0,5,6,0.0,1.0,21,0,0,5.0,1,1.0,0.0,13,4,0,7,52.0,17.0,4.0,7.0,4.0,0.538462,45.0,17.0,3.46154,226.571,29.2555,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMethodReturnType,2,4,1,1,3,0,0,410,12.0,3.0,66,0,0,0.0,3,5.0,3.0,11,4,0,5,18.0,5.0,1.63636,21.0,5.0,1.90909,-3.0,0.0,-0.272727,319.714,89.1905,0
org.eclipse.jdt.internal.compiler.ast.ImportReference,20,2,20,0,10,5,7,380,35.0,5.0,27,0,0,7.0,5,10.0,10.0,44,9,0,6,292.0,61.0,6.63636,271.0,61.0,6.15909,21.0,16.0,0.477273,367.0,78.2143,0
org.eclipse.jdt.internal.core.builder.ClasspathJar,11,2,2,9,45,0,8,0,108.0,10.0,18,0,0,8.0,9,51.0,34.0,41,5,0,8,535.0,87.0,13.0488,363.0,87.0,8.85366,172.0,41.0,4.19512,329.0,80.2275,0
org.eclipse.jdt.internal.eval.VariablesInfo,3,1,2,1,3,0,5,0,25.0,3.0,8,0,0,5.0,1,5.0,7.0,18,5,0,4,134.0,64.0,7.44444,136.0,64.0,7.55556,-2.0,5.0,-0.111111,367.0,53.8454,0
org.eclipse.jdt.internal.core.DeleteResourceElementsOperation,9,3,1,8,10,0,0,22,90.0,5.0,78,0,1,0.0,0,34.0,30.0,52,10,0,7,355.0,130.0,6.82692,355.0,130.0,6.82692,0.0,10.0,0.0,367.0,51.1952,0
org.eclipse.jdt.internal.core.InternalNamingConventions,11,1,1,10,55,0,1,0,377.0,11.0,8,1,7,0.0,4,89.0,80.0,24,7,0,7,267.0,108.0,11.125,124.0,44.0,5.16667,143.0,64.0,5.95833,278.571,145.973,1
org.eclipse.jdt.internal.core.search.IndexQueryRequestor,6,1,6,0,1,5,0,0,0.0,2.0,8,0,0,0.0,2,2.0,0.0,9,3,0,5,12.0,4.0,1.33333,11.0,4.0,1.22222,1.0,1.0,0.111111,236.0,61.1071,0
org.eclipse.jdt.internal.compiler.flow.SwitchFlowContext,4,2,1,3,10,2,2,141,23.0,5.0,35,0,0,2.0,5,13.0,6.0,42,3,0,6,254.0,53.0,6.04762,255.0,53.0,6.07143,-1.0,5.0,-0.0238095,367.0,84.9809,0
org.eclipse.jdt.core.dom.LineComment,4,3,2,2,36,0,1,95,31.0,9.0,75,1,0,0.0,1,19.0,9.0,19,6,0,5,101.0,37.0,5.31579,22.0,4.0,1.15789,79.0,37.0,4.15789,229.714,16.587,0
org.eclipse.jdt.internal.compiler.ast.JavadocSingleNameReference,6,7,2,4,3,2,2,419,30.0,3.0,115,0,0,2.0,3,12.0,8.0,17,3,0,6,80.0,15.0,4.70588,37.0,6.0,2.17647,43.0,9.0,2.52941,239.143,49.5089,0
org.eclipse.jdt.internal.compiler.ast.SubRoutineStatement,9,3,8,1,28,2,1,380,31.0,8.0,38,0,0,1.0,8,14.0,11.0,19,6,0,5,70.0,23.0,3.68421,89.0,23.0,4.68421,-19.0,11.0,-1.0,270.143,145.004,0
org.eclipse.jdt.internal.compiler.ProcessTaskManager,5,1,1,5,10,0,11,0,140.0,5.0,16,3,1,8.0,4,28.0,25.0,7,0,0,1,94.0,34.0,13.4286,73.0,26.0,10.4286,21.0,11.0,3.0,9.57143,3.71581,0
org.eclipse.jdt.core.dom.SwitchStatement,6,3,1,5,91,0,5,95,86.0,14.0,73,3,0,0.0,4,48.0,22.0,39,14,0,8,431.0,164.0,11.0513,258.0,164.0,6.61538,173.0,74.0,4.4359,333.143,72.3752,0
org.eclipse.jdt.internal.core.search.matching.SuperTypeReferenceLocator,4,2,1,4,21,0,1,68,67.0,7.0,33,0,0,0.0,4,18.0,25.0,22,4,0,8,105.0,23.0,4.77273,66.0,23.0,3.0,39.0,19.0,1.77273,248.571,69.2898,1
org.eclipse.jdt.internal.core.SourceMethod,20,6,4,18,378,1,1,69,222.0,28.0,227,0,0,0.0,22,126.0,57.0,84,8,0,8,919.0,251.0,10.9405,803.0,251.0,9.55952,116.0,18.0,1.38095,367.0,87.5335,0
org.eclipse.jdt.internal.core.hierarchy.IndexBasedHierarchyBuilder,28,2,1,28,36,0,4,17,423.0,9.0,19,0,3,0.0,3,149.0,56.0,132,8,0,8,2132.0,535.0,16.1515,2129.0,535.0,16.1288,3.0,39.0,0.0227273,367.0,74.4663,0
org.eclipse.jdt.internal.core.util.CommentRecorderScanner,2,2,1,1,1,0,0,219,10.0,2.0,55,0,0,0.0,2,3.0,3.0,8,4,0,4,12.0,4.0,1.5,10.0,4.0,1.25,2.0,1.0,0.25,228.143,40.2857,1
org.eclipse.jdt.internal.core.util.StackMapAttribute,4,3,1,3,6,0,5,1,33.0,4.0,31,5,0,0.0,4,9.0,7.0,5,2,0,2,144.0,82.0,28.8,1.0,1.0,0.2,143.0,82.0,28.6,228.857,59.0307,0
org.eclipse.jdt.core.dom.SuperMethodInvocation,6,3,1,6,171,0,10,95,136.0,19.0,73,6,0,0.0,9,72.0,38.0,45,15,0,7,813.0,187.0,18.0667,414.0,187.0,9.2,399.0,93.0,8.86667,333.143,98.4973,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnExplicitConstructorCall,6,4,1,5,3,0,0,393,41.0,3.0,61,0,0,0.0,3,18.0,14.0,28,4,0,5,265.0,76.0,9.46429,256.0,76.0,9.14286,9.0,6.0,0.321429,367.0,52.4016,0
org.eclipse.jdt.internal.formatter.old.CodeFormatter,6,1,1,5,1,0,1,114,131.0,2.0,9,1,0,0.0,2,38.0,24.0,19,7,0,6,317.0,121.0,16.6842,312.0,120.0,16.4211,5.0,18.0,0.263158,229.857,51.1739,0
org.eclipse.jdt.internal.compiler.lookup.CaptureBinding,8,5,1,7,45,0,5,55,210.0,10.0,171,0,0,5.0,10,70.0,47.0,33,4,0,4,397.0,54.0,12.0303,280.0,53.0,8.48485,117.0,53.0,3.54545,164.714,42.6312,0
org.eclipse.jdt.internal.compiler.lookup.ParameterizedMethodBinding,7,3,4,4,10,1,1,37,34.0,5.0,72,0,0,0.0,5,13.0,6.0,49,4,0,9,630.0,89.0,12.8571,197.0,43.0,4.02041,433.0,89.0,8.83673,224.143,62.839,0
